      49      49      50      51      52      52      49      49      49      48
      46      44      43      40      41      43      44      45      45      43
      43      43      43      45      45      43      42      42      42      42
      42      42      42      40      39      40      40      39      38      37
      36      37      37      37      38      37      37      37      37      36
      37      37      37      37      37      37      37      37      37      38
      38      39      41      42      42      40      40      39      41      42
      43      43      39      39      40      42      42      42      45      44
      44      45      45      45      45      44      46      47      48      48
      47      46      45      47      48      49      51      52      53      54
      52
      50      50      48      48      48      49      50      50      50      49
      47      44      40      40      41      42      45      45      45      40
      39      39      40      42      42      42      42      42      42      43
      43      43      42      40      39      39      37      37      37      37
      36      36      36      37      38      38      38      37      37      36
      36      36      37      38      35      35      35      35      36      37
      38      39      40      38      39      41      42      42      42      42
      43      42      40      42      43      43      43      42      44      43
      43      44      45      46      45      47      47      50      50      46
      45      47      47      47      48      48      50      50      50      50
      50
      46      46      46      46      46      47      52      52      50      47
      46      44      42      45      44      44      44      45      44      40
      41      40      40      40      41      42      42      45      45      45
      44      43      41      40      39      34      33      34      34      33
      34      34      34      36      36      37      38      37      34      34
      34      35      36      35      35      36      36      36      36      38
      38      39      37      37      38      40      41      42      43      43
      43      44      43      43      43      44      43      42      42      42
      42      44      46      47      48      49      51      51      51      49
      49      50      49      49      48      48      49      50      49      46
      46
      45      45      45      46      46      46      50      49      47      47
      45      44      49      50      45      41      40      40      41      40
      42      42      40      40      45      45      46      46      46      45
      43      42      41      40      37      35      36      37      37      36
      35      34      34      34      35      36      36      37      34      34
      35      36      36      36      35      40      40      39      38      37
      37      37      37      37      38      39      40      40      40      40
      42      45      45      43      43      44      43      43      46      46
      46      46      46      48      48      49      52      52      50      49
      48      47      45      45      47      48      49      49      49      46
      46
      45      45      45      47      50      52      53      49      45      45
      45      45      46      46      45      43      42      41      45      44
      42      42      41      41      42      44      51      50      49      48
      45      43      41      40      38      37      38      38      38      37
      36      35      35      34      34      34      35      35      34      34
      35      36      37      37      38      44      45      43      39      36
      36      36      37      37      38      39      39      39      39      36
      38      40      42      42      42      43      45      46      48      49
      48      48      48      51      54      54      54      53      51      50
      48      47      46      46      47      48      48      47      47      46
      53
      45      45      45      45      45      46      47      46      45      45
      45      45      45      45      45      46      46      45      46      47
      39      38      44      44      44      44      51      51      47      46
      45      42      41      41      40      38      38      36      37      37
      35      35      35      36      36      36      35      36      37      37
      37      36      37      37      38      41      42      42      37      36
      36      36      37      38      37      36      35      37      38      37
      37      39      40      40      41      42      43      44      47      48
      49      48      48      52      54      55      52      52      51      50
      48      47      47      47      47      48      48      48      49      50
      52
      45      46      46      45      45      45      48      47      46      46
      45      45      45      45      46      46      46      45      45      45
      42      39      44      45      46      48      50      51      48      47
      46      44      42      41      40      39      39      34      34      34
      34      34      35      36      37      37      37      37      38      38
      37      36      35      36      37      38      39      38      37      37
      39      38      38      38      37      39      38      38      38      39
      40      40      40      40      41      42      42      43      45      47
      48      48      48      49      53      54      52      52      54      53
      50      49      48      49      49      48      48      49      49      49
      50
      45      48      48      45      45      45      46      47      47      45
      45      45      46      49      49      48      47      47      47      46
      44      42      43      44      45      46      47      48      48      47
      46      45      41      38      37      38      37      35      35      35
      35      34      35      36      36      37      36      36      37      38
      37      37      35      35      37      38      38      38      39      39
      39      39      38      38      41      41      40      39      38      40
      40      39      39      39      40      41      42      43      45      50
      50      49      49      48      51      53      52      53      56      55
      55      54      54      53      52      50      50      51      50      50
      49
      44      44      45      45      46      46      47      47      47      46
      45      48      49      49      49      48      48      48      47      44
      43      42      42      42      42      41      42      44      44      45
      45      45      43      40      38      38      38      37      36      36
      35      36      37      37      37      35      35      38      38      36
      35      35      35      35      36      37      37      38      40      40
      39      39      38      39      41      42      41      36      37      42
      42      40      39      39      40      41      42      43      44      50
      51      51      50      50      51      54      54      56      57      57
      56      56      56      55      54      52      52      52      51      50
      50
      44      44      47      48      48      48      48      45      45      45
      46      48      49      50      49      45      44      43      41      41
      41      41      41      43      43      41      41      42      43      43
      42      42      42      42      41      40      39      37      36      36
      35      35      36      36      36      35      35      38      38      38
      38      38      39      39      39      38      38      38      39      39
      39      39      39      39      40      40      41      36      36      38
      41      41      40      40      40      41      42      47      49      48
      49      50      51      51      52      55      55      56      57      58
      58      57      57      55      54      52      52      53      53      50
      50
      45      44      46      47      47      47      46      43      43      46
      46      47      48      47      47      46      45      44      41      41
      41      41      41      43      43      42      41      41      42      43
      38      38      40      43      43      39      37      35      33      34
      34      34      35      37      37      37      37      38      39      38
      38      38      40      40      40      40      38      38      38      38
      38      38      38      38      38      39      38      36      36      38
      44      43      42      42      40      39      40      42      45      46
      47      49      48      49      53      54      55      56      57      59
      58      57      55      51      51      51      51      53      53      49
      49
      45      42      42      43      43      44      41      39      40      47
      48      49      49      47      46      45      45      43      42      41
      41      41      41      44      44      40      39      39      40      38
      38      38      40      42      43      41      39      36      35      35
      35      35      37      37      38      38      39      40      40      38
      37      37      38      39      39      39      38      37      37      37
      36      36      37      38      38      39      40      41      44      44
      45      45      44      43      41      38      37      42      43      44
      45      46      47      48      51      53      54      55      56      60
      60      58      56      54      54      54      53      53      53      49
      47
      43      42      42      42      42      42      41      40      45      46
      47      48      47      47      46      45      44      43      42      41
      42      43      44      45      44      38      38      38      38      38
      38      38      39      41      41      41      39      37      36      36
      36      36      37      37      37      38      39      40      40      39
      36      36      36      39      39      39      39      36      36      36
      36      38      38      38      38      39      40      43      44      45
      45      45      45      46      47      45      44      44      43      44
      43      44      46      48      50      53      54      55      56      58
      59      58      56      55      56      56      53      51      51      50
      50
      43      42      42      42      42      42      42      43      44      45
      46      46      46      46      46      46      42      42      42      42
      42      43      43      44      44      40      39      38      38      38
      38      38      40      40      38      38      38      36      36      36
      37      37      37      37      37      38      39      38      38      36
      36      36      40      40      40      39      39      37      36      36
      40      42      43      44      44      43      42      42      41      42
      42      41      42      43      46      46      45      44      44      44
      43      43      44      47      49      51      52      51      51      52
      54      55      55      56      55      55      54      49      50      51
      51
      42      43      43      42      42      42      42      45      45      45
      44      43      43      44      48      47      42      42      42      42
      42      43      42      42      42      41      40      39      39      38
      39      39      40      38      38      37      36      35      35      36
      37      37      37      38      38      38      38      38      36      36
      36      36      42      42      41      39      38      37      38      42
      43      49      50      49      45      44      44      44      46      47
      47      47      45      45      46      46      46      45      44      44
      44      43      43      45      46      48      50      51      48      49
      50      52      54      55      55      55      54      52      56      54
      51
      42      43      43      43      46      45      44      44      44      44
      44      43      43      45      47      48      43      42      42      42
      42      43      42      42      42      42      42      41      40      40
      40      40      40      39      38      38      36      34      34      35
      35      36      38      38      38      38      38      38      37      36
      36      36      41      42      41      40      39      39      40      41
      46      49      46      44      44      44      44      44      45      46
      46      47      46      44      44      44      44      44      43      37
      35      37      39      41      43      46      48      49      46      47
      48      49      51      53      54      55      56      58      60      59
      54
      42      42      43      44      45      46      41      41      42      43
      43      43      43      44      46      44      43      45      44      43
      42      42      42      42      44      44      43      42      41      41
      41      40      40      36      36      36      36      34      34      35
      37      38      39      39      40      39      39      39      37      36
      36      36      39      40      41      40      39      39      40      40
      41      42      42      42      42      43      43      44      44      44
      45      47      47      45      44      44      44      44      44      40
      38      39      40      41      43      45      45      46      46      46
      44      46      49      51      53      54      52      53      53      51
      51
      45      44      44      44      44      42      41      41      42      42
      43      42      42      43      44      44      44      45      42      42
      42      41      41      43      44      44      43      42      42      42
      40      37      35      35      35      35      36      35      34      35
      37      38      39      39      40      40      40      37      36      36
      36      37      41      41      37      36      38      39      40      40
      39      37      37      38      39      41      43      44      49      53
      54      52      50      48      47      46      45      45      44      43
      42      40      39      40      43      46      46      48      51      51
      50      49      49      49      50      51      51      51      47      47
      48
      46      46      46      45      41      41      41      43      43      41
      38      39      40      41      44      45      45      42      42      41
      39      39      40      42      42      38      38      38      38      36
      36      36      35      35      35      35      35      35      35      35
      36      37      37      38      39      40      38      37      38      38
      38      38      38      37      36      35      37      42      43      42
      41      39      38      37      41      42      43      44      47      49
      50      50      50      49      48      47      45      45      44      45
      45      44      45      49      48      48      48      49      50      51
      52      53      53      54      53      49      49      49      47      46
      46
      47      47      47      47      41      40      40      43      48      46
      43      41      41      43      44      44      45      41      41      41
      40      37      38      39      40      38      37      36      34      34
      37      37      37      36      36      35      36      36      36      34
      33      34      38      39      39      39      38      38      38      39
      39      39      39      39      39      41      42      43      43      41
      41      40      39      39      40      41      41      43      47      48
      48      49      49      49      49      48      47      46      45      45
      47      46      46      49      49      47      47      48      49      50
      51      52      51      51      50      44      44      44      44      44
      44
      47      42      41      41      41      40      40      41      43      45
      44      43      42      42      42      43      39      40      41      38
      35      34      35      37      38      38      37      36      35      38
      40      40      39      38      37      36      37      38      37      36
      34      36      37      38      39      38      38      38      38      40
      40      40      40      40      40      40      41      42      42      41
      41      41      40      40      41      42      43      47      47      46
      47      48      49      50      53      52      50      50      50      50
      51      51      49      48      46      47      50      51      51      51
      51      52      49      46      44      43      43      43      43      43
      45
      43      42      41      41      41      44      44      43      41      40
      42      43      42      40      38      37      37      38      41      40
      37      35      35      36      37      38      37      38      39      39
      40      40      40      39      37      37      37      38      39      38
      37      36      36      37      38      38      38      38      38      44
      43      42      41      42      42      40      40      43      43      41
      41      41      41      41      44      45      44      43      43      43
      48      51      52      53      54      53      52      53      54      53
      50      45      44      45      45      46      49      50      48      47
      48      48      48      48      47      43      43      43      43      46
      50
      41      41      41      41      41      43      44      44      43      41
      42      44      45      44      44      45      42      40      39      39
      38      37      37      37      39      39      38      38      39      39
      37      37      38      38      38      38      37      38      42      43
      42      37      35      35      40      40      40      43      45      46
      47      43      42      41      40      40      40      43      45      42
      41      41      42      42      43      42      42      42      43      45
      47      51      52      52      53      51      51      52      54      54
      49      43      43      46      46      47      49      50      49      45
      45      44      44      45      45      45      45      44      44      45
      47
      40      42      42      41      41      42      42      41      40      40
      41      41      42      42      42      43      42      41      40      40
      40      40      40      40      40      39      38      38      38      38
      38      37      40      40      40      39      38      38      39      40
      40      38      37      37      40      41      40      40      41      43
      45      44      43      42      40      40      40      43      44      43
      43      42      42      45      44      42      42      42      42      44
      49      50      51      51      53      54      55      55      54      51
      46      45      45      46      47      47      47      48      48      42
      41      44      49      48      46      46      47      46      46      45
      46
      39      42      42      42      42      42      42      41      41      39
      39      39      40      41      39      39      40      40      40      41
      41      41      41      41      40      39      38      42      43      42
      41      39      40      41      40      39      39      39      38      38
      39      39      38      38      39      40      41      41      41      42
      43      43      44      44      42      41      41      46      47      46
      45      44      47      48      47      45      44      44      44      47
      48      49      50      51      52      53      54      54      49      48
      47      46      46      46      47      46      44      45      46      44
      43      46      48      48      48      48      48      48      49      48
      48
      41      42      42      39      40      40      40      39      39      38
      38      38      39      38      38      38      38      38      39      39
      39      40      41      41      40      40      41      42      47      48
      44      43      42      41      40      40      41      41      41      40
      40      39      39      40      40      40      42      43      43      43
      43      43      46      46      45      43      42      44      47      48
      47      46      46      47      44      40      41      45      45      46
      47      48      48      51      52      53      52      51      50      49
      49      48      46      45      41      41      40      41      42      43
      44      45      46      47      48      49      49      49      50      50
      50
      43      41      39      38      38      38      39      37      37      37
      37      37      38      38      38      38      39      39      38      38
      38      40      41      41      41      41      41      42      44      45
      44      45      44      43      42      42      43      44      44      44
      44      43      42      41      41      41      44      46      46      46
      45      45      46      47      46      44      43      45      46      49
      49      46      46      43      41      40      40      42      44      45
      46      48      50      51      52      53      52      51      50      51
      52      51      46      44      42      44      44      44      44      44
      44      44      44      46      47      48      48      48      49      49
      50
      42      42      41      40      43      44      38      37      37      37
      37      37      38      38      38      38      39      39      40      39
      39      40      40      41      42      42      42      44      44      45
      45      46      46      46      47      48      48      48      47      49
      50      48      42      40      40      40      41      45      46      46
      46      46      46      46      46      46      47      48      48      49
      50      52      53      47      42      41      42      43      44      46
      46      47      49      50      51      51      51      50      50      50
      51      51      49      47      46      47      47      46      49      47
      46      46      47      47      47      48      48      48      48      48
      49
      44      44      43      42      40      40      39      37      37      37
      37      38      38      37      37      38      37      38      38      36
      35      36      37      42      43      43      43      44      44      44
      45      46      47      47      49      50      51      52      48      48
      49      49      46      42      41      41      41      44      45      45
      46      46      46      46      46      46      47      48      49      49
      50      50      48      47      44      43      46      45      45      46
      46      46      45      44      46      48      49      46      46      47
      48      50      52      53      53      56      60      56      54      52
      49      48      48      48      48      48      48      48      52      52
      52
      43      44      44      42      40      40      39      38      37      37
      37      38      38      37      37      36      36      36      36      36
      39      40      40      41      42      43      43      43      43      44
      45      45      45      46      48      49      49      48      48      47
      46      45      44      43      42      42      42      43      44      45
      45      46      47      47      46      46      47      49      49      50
      50      49      48      47      52      53      48      46      44      44
      44      43      43      43      44      46      46      45      45      45
      45      48      53      53      52      53      55      55      55      54
      50      49      49      49      48      48      48      51      52      52
      52
      41      41      40      40      40      40      39      38      39      40
      39      38      38      38      38      37      36      37      38      38
      39      40      40      40      41      41      41      42      43      44
      44      44      45      46      47      48      49      49      48      48
      47      46      45      46      48      48      48      47      45      42
      43      45      49      48      48      48      48      49      50      50
      50      50      49      49      48      44      44      44      44      44
      44      43      43      43      43      44      44      45      45      46
      48      50      53      54      50      51      52      53      50      50
      50      50      50      49      49      49      50      51      51      48
      48
      42      42      40      40      40      40      39      39      39      42
      41      38      38      38      38      38      38      39      39      39
      39      41      41      43      43      43      43      42      42      43
      43      44      47      47      52      54      53      52      51      50
      49      48      48      49      49      49      49      50      50      48
      47      47      49      50      51      50      50      48      48      49
      52      52      51      50      49      47      45      45      45      45
      45      44      43      43      43      43      44      46      46      46
      47      51      52      49      49      49      49      47      45      45
      46      46      46      47      50      52      52      51      49      48
      48
      42      42      41      41      41      40      40      40      42      43
      42      39      38      38      38      38      38      39      39      42
      43      43      43      45      45      45      44      43      45      47
      47      47      50      52      54      57      60      61      56      54
      52      51      50      49      49      48      45      48      52      51
      50      49      49      50      51      51      50      48      49      50
      54      54      53      53      53      51      49      47      47      46
      45      44      43      43      43      42      43      49      51      51
      50      50      48      47      47      47      45      45      45      45
      45      45      46      46      50      52      52      51      50      50
      49
      44      43      43      42      41      40      40      40      41      43
      43      41      38      38      38      38      38      39      40      41
      42      43      44      45      46      46      46      48      49      49
      49      48      49      50      51      53      58      61      59      57
      56      59      57      54      52      50      48      48      50      51
      51      51      51      51      51      52      51      50      50      53
      54      54      54      54      54      53      51      50      47      44
      44      45      44      45      45      46      47      48      50      52
      52      46      46      45      45      45      47      50      50      50
      53      51      46      46      47      53      53      52      52      50
      46
      43      43      43      40      40      40      40      41      42      43
      46      44      38      38      38      38      38      41      46      47
      46      45      45      45      47      48      49      50      51      51
      50      50      49      55      56      58      64      64      63      63
      65      64      63      60      59      58      56      54      53      52
      51      52      52      51      51      51      49      53      52      52
      52      54      56      56      55      54      53      51      48      44
      44      44      47      47      47      46      47      46      47      49
      49      47      46      46      45      45      45      50      51      51
      52      52      48      47      47      53      55      54      53      52
      49
      41      42      42      41      41      41      41      44      54      56
      54      49      45      42      41      40      39      40      43      45
      46      46      49      51      50      51      51      51      51      52
      52      52      55      58      59      61      63      64      61      59
      59      61      62      61      60      62      61      59      57      56
      56      55      54      53      52      55      55      55      54      51
      51      54      56      56      56      55      49      49      48      46
      44      44      47      48      48      48      48      45      45      46
      47      47      48      50      50      49      48      49      47      46
      46      46      46      47      48      52      56      56      55      54
      54
      41      40      40      45      47      45      45      58      61      65
      81      69      50      47      44      40      39      39      42      44
      47      45      45      47      49      51      52      52      52      56
      56      56      56      57      57      59      62      63      65      64
      70      82      82      78      74      71      69      67      64      62
      65      63      60      59      58      58      57      56      55      53
      54      55      56      55      51      49      48      48      48      47
      45      52      51      50      50      51      52      48      46      46
      46      46      47      49      51      52      48      46      46      46
      46      47      49      50      51      53      55      56      54      54
      55
      42      41      40      42      42      43      48      57      59      67
      73      72      53      46      43      41      40      41      43      46
      47      46      45      45      46      54      56      58      59      59
      60      61      62      66      68      70      73      75      78      88
      93     101     109     101      94      86      79      72      69      67
      71      69      65      63      63      62      61      59      57      56
      55      55      56      55      54      52      51      49      49      48
      48      53      53      47      46      48      49      48      48      46
      46      44      45      48      49      48      46      46      46      46
      46      46      48      53      53      53      53      53      53      54
      55
      44      43      41      41      42      47      48      55      65      66
      50      46      45      45      44      41      41      41      42      51
      51      50      55      57      54      51      53      57      58      60
      60      61      62      64      66      70      72      74      87     100
     104     105     111     112     110     100      89      83      82      84
      84      84      86      85      80      78      73      68      64      62
      59      57      56      58      57      56      54      53      54      55
      56      59      58      48      46      46      48      50      49      46
      43      41      42      48      49      46      46      46      46      49
      51      52      52      53      53      56      57      58      60      67
      61
      44      44      43      42      43      47      52      55      56      48
      43      42      42      41      41      41      41      43      50      52
      53      53      52      50      51      53      55      56      57      60
      63      63      62      63      67      74      78      79      91      99
     110     130     143     141     140     127     115     111     124     128
     128     131     126     118     108     100      95      86      78      73
      64      61      59      59      59      59      58      57      55      55
      55      58      58      50      47      46      47      50      50      48
      47      45      45      46      46      46      47      47      46      47
      48      51      52      52      53      56      57      55      57      57
      50
      44      44      43      43      45      48      54      55      54      47
      45      43      43      42      42      43      46      46      48      50
      52      54      53      45      46      52      54      57      60      63
      63      59      54      57      66      71      81      88      94      99
     104     135     162     186     218     221     196     176     176     180
     170     144     125     120     113     103      97      90      86      82
      72      68      64      60      59      59      57      55      54      54
      59      59      58      55      52      50      50      50      50      47
      47      46      46      45      45      45      47      47      45      44
      44      46      47      46      48      49      46      47      56      61
      58
      44      44      43      42      43      47      52      55      55      51
      47      45      45      44      44      47      47      47      47      46
      48      50      50      47      46      48      50      53      59      61
      62      63      60      60      68      70      74      78      81      84
      93     125     158     221     284     316     315     282     246     220
