Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2014-04-18T12:54:36.000,	2032.0,	1116.67,	132.36,	74.67,	1.0,	0.0
2014-04-18T12:54:40.000,	2032.0,	1050.0,	118.18,	67.56,	1.0,	0.0
2014-04-18T12:54:44.000,	2160.0,	1116.67,	113.45,	64.0,	1.0,	0.0
2014-04-18T12:54:48.000,	2032.0,	1116.67,	104.0,	64.0,	1.0,	0.0
2014-04-18T12:54:52.000,	2032.0,	1050.0,	99.27,	56.89,	1.0,	0.0
2014-04-18T12:54:56.000,	2032.0,	1116.67,	104.0,	53.33,	1.0,	0.0
2014-04-18T12:55:00.000,	1968.0,	1050.0,	94.55,	53.33,	1.0,	0.0
2014-04-18T12:55:04.000,	1968.0,	1050.0,	94.55,	53.33,	1.0,	0.0
2014-04-18T12:55:08.000,	2032.0,	1116.67,	108.73,	56.89,	1.0,	0.0
2014-04-18T12:55:12.000,	2160.0,	1183.33,	108.73,	56.89,	1.0,	0.0
2014-04-18T12:55:16.000,	2160.0,	1183.33,	118.18,	56.89,	1.0,	0.0
2014-04-18T12:55:20.000,	2160.0,	1183.33,	118.18,	60.44,	1.0,	0.0
2014-04-18T12:55:24.000,	2160.0,	1183.33,	122.91,	60.44,	1.0,	0.0
2014-04-18T12:55:28.000,	2032.0,	1116.67,	108.73,	53.33,	1.0,	0.0
2014-04-18T12:55:32.000,	2288.0,	1183.33,	113.45,	64.0,	1.0,	0.0
2014-04-18T12:55:36.000,	2288.0,	1183.33,	118.18,	67.56,	1.0,	0.0
2014-04-18T12:55:40.000,	2160.0,	1116.67,	108.73,	64.0,	1.0,	0.0
2014-04-18T12:55:44.000,	2288.0,	1183.33,	113.45,	64.0,	1.0,	0.0
2014-04-18T12:55:48.000,	2288.0,	1183.33,	113.45,	64.0,	1.0,	0.0
2014-04-18T12:55:52.000,	2416.0,	1183.33,	104.0,	64.0,	1.0,	0.0
2014-04-18T12:55:56.000,	2288.0,	1183.33,	94.55,	53.33,	1.0,	0.0
2014-04-18T12:56:00.000,	2288.0,	1183.33,	89.82,	53.33,	1.0,	0.0
2014-04-18T12:56:04.000,	2288.0,	1183.33,	94.55,	49.78,	1.0,	0.0
2014-04-18T12:56:08.000,	2288.0,	1183.33,	85.09,	53.33,	1.0,	0.0
2014-04-18T12:56:12.000,	2288.0,	1116.67,	85.09,	49.78,	1.0,	0.0
2014-04-18T12:56:16.000,	2160.0,	1116.67,	94.55,	49.78,	1.0,	0.0
2014-04-18T12:56:20.000,	2160.0,	1116.67,	94.55,	53.33,	1.0,	0.0
2014-04-18T12:56:24.000,	2160.0,	1116.67,	99.27,	53.33,	1.0,	0.0
2014-04-18T12:56:28.000,	2288.0,	1116.67,	99.27,	53.33,	1.0,	0.0
2014-04-18T12:56:32.000,	2160.0,	1116.67,	104.0,	56.89,	1.0,	0.0
2014-04-18T12:56:36.000,	2288.0,	1183.33,	104.0,	56.89,	1.0,	0.0
2014-04-18T12:56:40.000,	2160.0,	1183.33,	104.0,	53.33,	1.0,	0.0
2014-04-18T12:56:44.000,	2160.0,	1116.67,	104.0,	60.44,	1.0,	0.0
2014-04-18T12:56:48.000,	2288.0,	1116.67,	99.27,	56.89,	1.0,	0.0
2014-04-18T12:56:52.000,	2288.0,	1183.33,	104.0,	60.44,	1.0,	0.0
2014-04-18T12:56:56.000,	2416.0,	1183.33,	104.0,	64.0,	1.0,	0.0
2014-04-18T12:57:00.000,	2288.0,	1116.67,	94.55,	53.33,	1.0,	0.0
2014-04-18T12:57:04.000,	2416.0,	1183.33,	99.27,	56.89,	1.0,	0.0
2014-04-18T12:57:08.000,	2288.0,	1116.67,	85.09,	49.78,	1.0,	0.0
2014-04-18T12:57:12.000,	2416.0,	1116.67,	89.82,	53.33,	1.0,	0.0
2014-04-18T12:57:16.000,	2416.0,	1183.33,	89.82,	56.89,	1.0,	0.0
2014-04-18T12:57:20.000,	2288.0,	1116.67,	80.36,	49.78,	1.0,	0.0
2014-04-18T12:57:24.000,	2160.0,	1050.0,	80.36,	49.78,	1.0,	0.0
2014-04-18T12:57:28.000,	2160.0,	1050.0,	75.64,	42.67,	1.0,	0.0
2014-04-18T12:57:32.000,	2288.0,	1050.0,	80.36,	49.78,	1.0,	0.0
2014-04-18T12:57:36.000,	2160.0,	1050.0,	80.36,	49.78,	1.0,	0.0
2014-04-18T12:57:40.000,	2288.0,	1050.0,	80.36,	46.22,	1.0,	0.0
2014-04-18T12:57:44.000,	2288.0,	1050.0,	80.36,	46.22,	1.0,	0.0
2014-04-18T12:57:48.000,	2032.0,	983.33,	75.64,	49.78,	1.0,	0.0
2014-04-18T12:57:52.000,	2160.0,	1016.67,	75.64,	46.22,	1.0,	0.0
2014-04-18T12:57:56.000,	2160.0,	1016.67,	75.64,	46.22,	1.0,	0.0
2014-04-18T12:58:00.000,	2160.0,	1050.0,	70.91,	46.22,	1.0,	0.0
2014-04-18T12:58:04.000,	2160.0,	983.33,	66.18,	42.67,	1.0,	0.0
2014-04-18T12:58:08.000,	2288.0,	1050.0,	70.91,	46.22,	1.0,	0.0
2014-04-18T12:58:12.000,	2288.0,	1050.0,	70.91,	42.67,	1.0,	0.0
2014-04-18T12:58:16.000,	2160.0,	983.33,	75.64,	42.67,	1.0,	0.0
2014-04-18T12:58:20.000,	2288.0,	1016.67,	70.91,	46.22,	1.0,	0.0
2014-04-18T12:58:24.000,	2160.0,	983.33,	66.18,	42.67,	1.0,	0.0
2014-04-18T12:58:28.000,	2288.0,	1016.67,	70.91,	46.22,	1.0,	0.0
2014-04-18T12:58:32.000,	2160.0,	983.33,	66.18,	42.67,	1.0,	0.0
2014-04-18T12:58:36.000,	2032.0,	916.67,	56.73,	42.67,	1.0,	0.0
2014-04-18T12:58:40.000,	2160.0,	983.33,	61.45,	39.11,	1.0,	0.0
2014-04-18T12:58:44.000,	2160.0,	950.0,	56.73,	39.11,	1.0,	0.0
2014-04-18T12:58:48.000,	2160.0,	950.0,	61.45,	42.67,	1.0,	0.0
2014-04-18T12:58:52.000,	2160.0,	916.67,	56.73,	42.67,	1.0,	0.0
2014-04-18T12:58:56.000,	1904.0,	816.67,	49.64,	39.11,	1.0,	0.0
2014-04-18T12:59:00.000,	2160.0,	916.67,	49.64,	39.11,	1.0,	0.0
2014-04-18T12:59:04.000,	2032.0,	850.0,	52.0,	39.11,	1.0,	0.0
2014-04-18T12:59:08.000,	2032.0,	850.0,	49.64,	35.56,	1.0,	0.0
2014-04-18T12:59:12.000,	2032.0,	883.33,	52.0,	39.11,	1.0,	0.0
2014-04-18T12:59:16.000,	2160.0,	916.67,	52.0,	39.11,	1.0,	0.0
2014-04-18T12:59:20.000,	2160.0,	916.67,	54.36,	39.11,	1.0,	0.0
2014-04-18T12:59:24.000,	2032.0,	883.33,	52.0,	35.56,	1.0,	0.0
2014-04-18T12:59:28.000,	1968.0,	816.67,	44.91,	35.56,	1.0,	0.0
2014-04-18T12:59:32.000,	2160.0,	883.33,	54.36,	39.11,	1.0,	0.0
2014-04-18T12:59:36.000,	2160.0,	916.67,	49.64,	39.11,	1.0,	0.0
2014-04-18T12:59:40.000,	2032.0,	883.33,	44.91,	42.67,	1.0,	0.0
2014-04-18T12:59:44.000,	2032.0,	850.0,	54.36,	39.11,	1.0,	0.0
2014-04-18T12:59:48.000,	2288.0,	950.0,	56.73,	39.11,	1.0,	0.0
2014-04-18T12:59:52.000,	2160.0,	883.33,	54.36,	35.56,	1.0,	0.0
2014-04-18T12:59:56.000,	2160.0,	883.33,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:00:00.000,	1968.0,	816.67,	52.0,	39.11,	1.0,	0.0
2014-04-18T13:00:04.000,	2032.0,	850.0,	52.0,	35.56,	1.0,	0.0
2014-04-18T13:00:08.000,	2032.0,	883.33,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:00:12.000,	2032.0,	850.0,	49.64,	35.56,	1.0,	0.0
2014-04-18T13:00:16.000,	2032.0,	850.0,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:00:20.000,	1904.0,	816.67,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:00:24.000,	2032.0,	850.0,	56.73,	35.56,	1.0,	0.0
2014-04-18T13:00:28.000,	1968.0,	816.67,	52.0,	35.56,	1.0,	0.0
2014-04-18T13:00:32.000,	1840.0,	783.33,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:00:36.000,	1968.0,	816.67,	49.64,	35.56,	1.0,	0.0
2014-04-18T13:00:40.000,	2032.0,	850.0,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:00:44.000,	1968.0,	816.67,	52.0,	35.56,	1.0,	0.0
2014-04-18T13:00:48.000,	2032.0,	883.33,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:00:52.000,	2032.0,	883.33,	56.73,	39.11,	1.0,	0.0
2014-04-18T13:00:56.000,	2032.0,	850.0,	54.36,	39.11,	1.0,	0.0
2014-04-18T13:01:00.000,	2032.0,	850.0,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:01:04.000,	1968.0,	816.67,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:01:08.000,	2032.0,	850.0,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:01:12.000,	2032.0,	850.0,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:01:16.000,	1904.0,	783.33,	49.64,	35.56,	1.0,	0.0
2014-04-18T13:01:20.000,	1904.0,	783.33,	47.27,	32.0,	1.0,	0.0
2014-04-18T13:01:24.000,	2032.0,	816.67,	54.36,	35.56,	1.0,	0.0
2014-04-18T13:01:28.000,	1840.0,	750.0,	42.55,	35.56,	1.0,	0.0
2014-04-18T13:01:32.000,	1904.0,	783.33,	49.64,	39.11,	1.0,	0.0
2014-04-18T13:01:36.000,	1904.0,	783.33,	47.27,	32.0,	1.0,	0.0
2014-04-18T13:01:40.000,	1840.0,	750.0,	47.27,	32.0,	1.0,	0.0
2014-04-18T13:01:44.000,	1776.0,	716.67,	44.91,	35.56,	1.0,	0.0
2014-04-18T13:01:48.000,	1904.0,	750.0,	44.91,	35.56,	1.0,	0.0
2014-04-18T13:01:52.000,	1904.0,	750.0,	44.91,	35.56,	1.0,	0.0
2014-04-18T13:01:56.000,	1840.0,	750.0,	44.91,	32.0,	1.0,	0.0
2014-04-18T13:02:00.000,	1904.0,	783.33,	44.91,	39.11,	1.0,	0.0
2014-04-18T13:02:04.000,	1776.0,	716.67,	42.55,	35.56,	1.0,	0.0
2014-04-18T13:02:08.000,	1776.0,	716.67,	42.55,	35.56,	1.0,	0.0
2014-04-18T13:02:12.000,	1840.0,	750.0,	42.55,	35.56,	1.0,	0.0
2014-04-18T13:02:16.000,	1712.0,	683.33,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:20.000,	1776.0,	716.67,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:24.000,	1840.0,	750.0,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:28.000,	1840.0,	716.67,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:32.000,	1776.0,	716.67,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:36.000,	1840.0,	716.67,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:40.000,	1776.0,	716.67,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:44.000,	1776.0,	716.67,	37.82,	28.44,	1.0,	0.0
2014-04-18T13:02:48.000,	1776.0,	716.67,	35.45,	28.44,	1.0,	0.0
2014-04-18T13:02:52.000,	1840.0,	750.0,	40.18,	32.0,	1.0,	0.0
2014-04-18T13:02:56.000,	848.0,	350.0,	17.73,	14.22,	1.0,	0.0
2014-04-18T13:03:00.000,	1584.0,	650.0,	35.45,	28.44,	1.0,	0.0
2014-04-18T13:03:04.000,	1648.0,	683.33,	33.09,	32.0,	1.0,	0.0
2014-04-18T13:03:08.000,	1776.0,	716.67,	35.45,	28.44,	1.0,	0.0
2014-04-18T13:03:12.000,	1712.0,	683.33,	33.09,	32.0,	1.0,	0.0
2014-04-18T13:03:16.000,	1776.0,	716.67,	33.09,	28.44,	1.0,	0.0
2014-04-18T13:03:20.000,	1712.0,	683.33,	33.09,	26.67,	1.0,	0.0
2014-04-18T13:03:24.000,	1776.0,	716.67,	33.09,	28.44,	1.0,	0.0
2014-04-18T13:03:28.000,	1712.0,	716.67,	33.09,	26.67,	1.0,	0.0
2014-04-18T13:03:32.000,	1776.0,	716.67,	30.73,	26.67,	1.0,	0.0
2014-04-18T13:03:36.000,	1712.0,	683.33,	33.09,	28.44,	1.0,	0.0
2014-04-18T13:03:40.000,	1776.0,	683.33,	30.73,	28.44,	1.0,	0.0
2014-04-18T13:03:44.000,	1648.0,	650.0,	30.73,	26.67,	1.0,	0.0
2014-04-18T13:03:48.000,	1712.0,	683.33,	30.73,	28.44,	1.0,	0.0
2014-04-18T13:03:52.000,	1648.0,	650.0,	30.73,	28.44,	1.0,	0.0
2014-04-18T13:03:56.000,	1712.0,	683.33,	35.45,	26.67,	1.0,	0.0
2014-04-18T13:04:00.000,	1776.0,	683.33,	28.36,	28.44,	1.0,	0.0
2014-04-18T13:04:04.000,	1712.0,	650.0,	30.73,	28.44,	1.0,	0.0
2014-04-18T13:04:08.000,	1584.0,	616.67,	30.73,	26.67,	1.0,	0.0
2014-04-18T13:04:12.000,	1712.0,	683.33,	33.09,	26.67,	1.0,	0.0
2014-04-18T13:04:16.000,	1776.0,	683.33,	30.73,	26.67,	1.0,	0.0
2014-04-18T13:04:20.000,	1712.0,	683.33,	28.36,	28.44,	1.0,	0.0
2014-04-18T13:04:24.000,	1648.0,	650.0,	28.36,	26.67,	1.0,	0.0
2014-04-18T13:04:28.000,	1648.0,	650.0,	26.0,	26.67,	1.0,	0.0
2014-04-18T13:04:32.000,	1648.0,	650.0,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:04:36.000,	1776.0,	683.33,	28.36,	28.44,	1.0,	0.0
2014-04-18T13:04:40.000,	1648.0,	650.0,	26.0,	24.89,	1.0,	0.0
2014-04-18T13:04:44.000,	1648.0,	616.67,	26.0,	24.89,	1.0,	0.0
2014-04-18T13:04:48.000,	1712.0,	650.0,	26.0,	24.89,	1.0,	0.0
2014-04-18T13:04:52.000,	1520.0,	616.67,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:04:56.000,	1712.0,	683.33,	28.36,	28.44,	1.0,	0.0
2014-04-18T13:05:00.000,	1648.0,	616.67,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:05:04.000,	1648.0,	650.0,	28.36,	23.11,	1.0,	0.0
2014-04-18T13:05:08.000,	1520.0,	616.67,	23.64,	24.89,	1.0,	0.0
2014-04-18T13:05:12.000,	1584.0,	616.67,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:05:16.000,	1584.0,	616.67,	26.0,	26.67,	1.0,	0.0
2014-04-18T13:05:20.000,	1520.0,	583.33,	23.64,	19.56,	1.0,	0.0
2014-04-18T13:05:24.000,	1520.0,	583.33,	26.0,	21.33,	1.0,	0.0
2014-04-18T13:05:28.000,	1584.0,	616.67,	23.64,	24.89,	1.0,	0.0
2014-04-18T13:05:32.000,	1392.0,	550.0,	18.91,	21.33,	1.0,	0.0
2014-04-18T13:05:36.000,	1520.0,	583.33,	26.0,	21.33,	1.0,	0.0
2014-04-18T13:05:40.000,	1456.0,	583.33,	23.64,	23.11,	1.0,	0.0
2014-04-18T13:05:44.000,	1584.0,	616.67,	21.27,	21.33,	1.0,	0.0
2014-04-18T13:05:48.000,	1584.0,	616.67,	23.64,	23.11,	1.0,	0.0
2014-04-18T13:05:52.000,	1520.0,	550.0,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:05:56.000,	1584.0,	583.33,	21.27,	21.33,	1.0,	0.0
2014-04-18T13:06:00.000,	1584.0,	616.67,	26.0,	23.11,	1.0,	0.0
2014-04-18T13:06:04.000,	1584.0,	616.67,	23.64,	21.33,	1.0,	0.0
2014-04-18T13:06:08.000,	1520.0,	583.33,	21.27,	21.33,	1.0,	0.0
2014-04-18T13:06:12.000,	1584.0,	583.33,	23.64,	21.33,	1.0,	0.0
2014-04-18T13:06:16.000,	1584.0,	583.33,	21.27,	23.11,	1.0,	0.0
2014-04-18T13:06:20.000,	1520.0,	583.33,	21.27,	21.33,	1.0,	0.0
2014-04-18T13:06:24.000,	1456.0,	550.0,	21.27,	19.56,	1.0,	0.0
2014-04-18T13:06:28.000,	1584.0,	583.33,	21.27,	19.56,	1.0,	0.0
2014-04-18T13:06:32.000,	1584.0,	616.67,	18.91,	23.11,	1.0,	0.0
2014-04-18T13:06:36.000,	1456.0,	550.0,	21.27,	19.56,	1.0,	0.0
2014-04-18T13:06:40.000,	1520.0,	550.0,	21.27,	23.11,	1.0,	0.0
2014-04-18T13:06:44.000,	1456.0,	550.0,	21.27,	21.33,	1.0,	0.0
2014-04-18T13:06:48.000,	1392.0,	516.67,	18.91,	19.56,	1.0,	0.0
2014-04-18T13:06:52.000,	1328.0,	500.0,	17.73,	19.56,	1.0,	0.0
2014-04-18T13:06:56.000,	1520.0,	583.33,	21.27,	19.56,	1.0,	0.0
2014-04-18T13:07:00.000,	1520.0,	550.0,	18.91,	19.56,	1.0,	0.0
2014-04-18T13:07:04.000,	1328.0,	483.33,	18.91,	17.78,	1.0,	0.0
2014-04-18T13:07:08.000,	1456.0,	516.67,	18.91,	19.56,	1.0,	0.0
2014-04-18T13:07:12.000,	1328.0,	516.67,	18.91,	17.78,	1.0,	0.0
2014-04-18T13:07:16.000,	1456.0,	550.0,	18.91,	21.33,	1.0,	0.0
2014-04-18T13:07:20.000,	1392.0,	500.0,	16.55,	19.56,	1.0,	0.0
2014-04-18T13:07:24.000,	1456.0,	516.67,	17.73,	19.56,	1.0,	0.0
2014-04-18T13:07:28.000,	1392.0,	500.0,	17.73,	17.78,	1.0,	0.0
2014-04-18T13:07:32.000,	1456.0,	550.0,	18.91,	17.78,	1.0,	0.0
2014-04-18T13:07:36.000,	1392.0,	500.0,	17.73,	17.78,	1.0,	0.0
2014-04-18T13:07:40.000,	1456.0,	516.67,	17.73,	17.78,	1.0,	0.0
2014-04-18T13:07:44.000,	1328.0,	500.0,	16.55,	17.78,	1.0,	0.0
2014-04-18T13:07:48.000,	1456.0,	516.67,	18.91,	19.56,	1.0,	0.0
2014-04-18T13:07:52.000,	1456.0,	516.67,	17.73,	17.78,	1.0,	0.0
2014-04-18T13:07:56.000,	1328.0,	483.33,	15.36,	16.0,	1.0,	0.0
2014-04-18T13:08:00.000,	1328.0,	483.33,	14.18,	14.22,	1.0,	0.0
2014-04-18T13:08:04.000,	1200.0,	433.33,	15.36,	16.0,	1.0,	0.0
